Input,Target,Vanilla_prediction,Attention_prediction
ankon,अंकों,आंकों,अंकों
antah,अंतः,अंतह,अंतः
antaha,अंतः,अंताहा,अंतः
agavai,अगवाई,आगवाई,अगवाई
agvaai,अगवाई,आगवाई,अगवाई
agr,अग्र,एग्री,अग्र
acchi,अच्छी,अच्ची,अच्छी
achyut,अच्युत,अछूत,अच्युत
atkata,अटकता,अतकता,अटकता
adhyayanrat,अध्ययनरत,अध्यारात,अध्ययनरत
anaavashyak,अनावश्यक,अनावाश्यक,अनावश्यक
anawashyak,अनावश्यक,अनावश्यक्क,अनावश्यक
anukulata,अनुकूलता,अनुकुलता,अनुकूलता
anukulta,अनुकूलता,अनुकुलता,अनुकूलता
anuprayogon,अनुप्रयोगों,अनुप्रायों,अनुप्रयोगों
aprihary,अपरिहार्य,अपरिहरी,अपरिहार्य
africa,अफ्रीका,अफ्रिका,अफ्रीका
abbasi,अब्बासी,अब्सासी,अब्बासी
amjhera,अमझेरा,अमेहरा,अमझेरा
amargarh,अमरगढ़,अमगरह,अमरगढ़
urgent,अर्जेंट,उर्जेंट,अर्जेंट
avarnata,अवर्णता,अवर्नता,अवर्णता
avarnataa,अवर्णता,अवर्नता,अवर्णता
ashrafi,अशरफी,अश्राफी,अशरफी
asamany,असमान्य,असामान्य,असमान्य
asaamnjsy,असामंजस्य,असामंस्य,असामंजस्य
aswbhavik,अस्वभाविक,अस्वभिविक,अस्वभाविक
items,आइटम्स,इटेट्स,आइटम्स
aanad,आनद,आंद,आनद
aapadaaaen,आपदाएं,आपादाएं,आपदाएं
aapdaein,आपदाएं,आपड़ाएं,आपदाएं
aabru,आबरू,आब्रू,आबरू
amdi,आमदी,अम्धी,आमदी
rp,आरपी,आरएपी,आरपी
aaram,आराम,आरम,आराम
aaryika,आर्यिका,आर्किका,आर्यिका
aryika,आर्यिका,आर्किका,आर्यिका
aavishkaar,आविष्कार,आविश्कार,आविष्कार
avishkar,आविष्कार,अविष्कार,आविष्कार
ashanka,आशंका,अशंका,आशंका
aasaan,आसान,आसन,आसान
england,इंग्लैंड,एंग्लैंड,इंग्लैंड
introduction,इंट्रोडक्शन,इंट्रोक्टिकन,इंट्रोडक्शन
ekaee,इकाई,एकाई,इकाई
ilaichi,इलाइची,इलाइचीी,इलाइची
ishaak,इशाक,इसाक,इशाक
ishita,इशिता,इशीता,इशिता
ea,ईए,इए,ईए
uthakar,उठाकर,उठकर,उठाकर
uttra,उत्तरा,उत्त्र,उत्तरा
utpan,उत्पन,उत्पान,उत्पन
updravion,उपद्रवियों,उप््रववियों,उपद्रवियों
updraviyon,उपद्रवियों,उप््रवियों,उपद्रवियों
upadravi,उपद्रवी,उपद्वावी,उपद्रवी
updravi,उपद्रवी,उप्द्रवी,उपद्रवी
updravon,उपद्रवों,उप्दरवों,उपद्रवों
umanath,उमानाथ,उमनाथ,उमानाथ
umesh,उमेश,उम्श,उमेश
urvarakon,उर्वरकों,उर्वकों,उर्वरकों
ulema,उलेमा,उल्मेा,उलेमा
ulemaon,उलेमाओं,उल्मेओं,उलेमाओं
usmein,उसमें,उस्में,उसमें
usmen,उसमें,उस्में,उसमें
ustara,उस्तरा,उस्तर,उस्तरा
antony,एंटोनी,अंटोनी,एंटोनी
endometrial,एंडोमेट्रियल,एंडमोम्रियल,एंडोमेट्रियल
eksath,एकसाथ,एकस्थ,एकसाथ
adp,एडीपी,ऐडीपीी,एडीपी
emrald,एमरल्ड,एमर्ल्ड,एमरल्ड
airway,एयरवे,अर्वे,एयरवे
arica,एरिका,अरिका,एरिका
aliens,एलियंस,एलिंसस,एलियंस
sfc,एसएफसी,एसफीसी,एसएफसी
spf,एसपीएफ,सीएफ,एसपीएफ
aster,एस्टर,अस्टर,एस्टर
enth,ऐंठ,ऐंथ,ऐंठ
enthe,ऐंठे,ऐंथे,ऐंठे
oxide,ऑक्साइड,ऑक्सीडेड,ऑक्साइड
okalahoma,ओकलाहोमा,ओकलोहा,ओकलाहोमा
oklahoma,ओकलाहोमा,ओकलोहा,ओकलाहोमा
olavrishti,ओलावृष्टि,ओलववृष्टि,ओलावृष्टि
auchitya,औचित्य,अचित्य,औचित्य
audhyogikaran,औद्योगिकरण,औद्योगकरीकर,औद्योगिकरण
aurora,औरोरा,औरोड़ा,औरोरा
composer,कंपोजर,कंपोसर,कंपोजर
kanblon,कंबलों,कांबों,कंबलों
cutlery,कटलरी,कटलेरी,कटलरी
katlari,कटलरी,कत्लारी,कटलरी
katlary,कटलरी,कट्लारी,कटलरी
kaningham,कनिंघम,कणिंघम,कनिंघम
kap,कप,काप,कप
kpada,कपड़ा,कपाड़ा,कपड़ा
kapolkalpana,कपोलकल्पना,कापोलकान,कपोलकल्पना
kamaauu,कमाऊ,कमाईऊ,कमाऊ
kamate,कमाते,कमते,कमाते
kmere,कमेरे,केमरे,कमेरे
karanj,करंज,करांज,करंज
karanjiya,करंजिया,करणजीय,करंजिया
karpatri,करपात्री,करपत्री,करपात्री
kalmen,कलमें,कालमें,कलमें
kalraj,कलराज,कल्राज,कलराज
kalika,कलिका,कालिका,कलिका
kashton,कष्टों,काष्टों,कष्टों
kahane,कहने,कहाने,कहने
kaagaz,कागज़,काग़ज़,कागज़
karykartaaon,कार्यकर्ताओं,कार्यकार्ताओं,कार्यकर्ताओं
karykartaon,कार्यकर्ताओं,कार्यकार्ताओं,कार्यकर्ताओं
karyrat,कार्यरत,कार्यत,कार्यरत
killat,किल्लत,किल्ेट,किल्लत
killi,किल्ली,किलीईी,किल्ली
kisaani,किसानी,किशनी,किसानी
kurmi,कुर्मी,कुरमी,कुर्मी
kush,कुश,कुष,कुश
kpo,केपीओ,कपो,केपीओ
canterbury,कैंटरबरी,कंटरबरी,कैंटरबरी
capacitor,कैपेसिटर,कैपिट्टर,कैपेसिटर
cavity,कैविटी,केविटी,कैविटी
kaivelari,कैवेलरी,कैवेलेरी,कैवेलरी
kolorado,कोलोराडो,कोलोर्डो,कोलोराडो
krantiyon,क्रांतियों,क्रंतियों,क्रांतियों
cricketer,क्रिकेटर,क्रिकेटरस,क्रिकेटर
cricketing,क्रिकेटिंग,क्रिकेंटिंग,क्रिकेटिंग
kriyayog,क्रियायोग,क्रियोग,क्रियायोग
clerys,क्लेरिस,क्लाइर्स,क्लेरिस
khariya,खरिया,खरीया,खरिया
khinchakar,खिंचकर,खींचकर,खिंचकर
khoikhoi,खोईखोई,खोखोई,खोईखोई
gandh,गंध,गांध,गंध
ganapati,गणपति,गणपती,गणपति
garibi,गरीबी,गारिबी,गरीबी
ginte,गिनते,गिंटे,गिनते
girjaghar,गिरजाघर,गीरजजाघर,गिरजाघर
girati,गिरती,गिराती,गिरती
girti,गिरती,गीरती,गिरती
guan,गुआन,गुवान,गुआन
gulshan,गुलशन,गुलश्षण,गुलशन
goyal,गोयल,गोयाल,गोयल
gaumutr,गौमूत्र,गौमुत्र,गौमूत्र
gaumutra,गौमूत्र,गौमुत्र,गौमूत्र
ghataatop,घटाटोप,घटातापूप,घटाटोप
ghisi,घिसी,घीसी,घिसी
ghise,घिसे,घिजे,घिसे
ghontane,घोंटने,घोंटाने,घोंटने
chandan,चंदन,चांडन,चंदन
chandon,चंदों,चांडों,चंदों
chkkar,चक्कर,चककर,चक्कर
channa,चन्ना,चाना,चन्ना
chamkana,चमकना,चमकाना,चमकना
chan,चान,चन,चान
chidhate,चिढ़ते,चीढ़ते,चिढ़ते
chidhte,चिढ़ते,चीढ़ते,चिढ़ते
chipakane,चिपकने,चिपकाने,चिपकने
chipkane,चिपकने,चिपकाने,चिपकने
chuka,चुका,चूका,चुका
chhallaa,छल्ला,छलला,छल्ला
chhura,छुरा,छुड़ा,छुरा
chhuraa,छुरा,छुड़ा,छुरा
chhuri,छुरी,छुड़ी,छुरी
chhure,छुरे,छुड़े,छुरे
jaghaega,जगाएगा,जागेगा,जगाएगा
jad,जड़,जाद,जड़
jaddit,जड़ित,जड्दित,जड़ित
jadit,जड़ित,जादित,जड़ित
jadein,जड़ें,जाडें,जड़ें
jaden,जड़ें,जाडें,जड़ें
jamati,जमाती,जमती,जमाती
jamui,जमुई,जमूई,जमुई
jarakh,जरख,जारख,जरख
zarakh,जरख,ज़ाख़,जरख
jarda,जर्दा,जरदा,जर्दा
jardaa,जर्दा,जरदा,जर्दा
zarda,जर्दा,जरदा,जर्दा
jalesar,जलेसर,जालेसर,जलेसर
jasmeet,जसमीत,जस्मीत,जसमीत
jat,जात,जाट,जात
jaayke,जायके,जाएक,जायके
jayke,जायके,जाके,जायके
jing,जिंग,जींग,जिंग
gr,जीआर,ग्री,जीआर
gsm,जीएसएम,जीएमएस,जीएसएम
jeewan,जीवन,जीवान,जीवन
julahon,जुलाहों,जुलहों,जुलाहों
junior,जूनियर,जुनियर,जूनियर
jetha,जेठा,जीठा,जेठा
jenny,जेनी,जेनीनी,जेनी
jorhta,जोड़ता,जोरहता,जोड़ता
tranjister,ट्रांजिस्टर,ट्रांजीज्टरस,ट्रांजिस्टर
traip,ट्रैप,ट्रेप,ट्रैप
trot,ट्रॉट,ट्रोट,ट्रॉट
trott,ट्रॉट,ट्रोटट,ट्रॉट
thaharne,ठहरने,ठहरेने,ठहरने
theharne,ठहरने,ठहरेने,ठहरने
theinga,ठेंगा,ठींगा,ठेंगा
dolane,डोलने,डोलाने,डोलने
dolne,डोलने,डॉलने,डोलने
tagade,तगड़े,टगड़े,तगड़े
tagde,तगड़े,टगड़े,तगड़े
tarafa,तरफा,तराफा,तरफा
tarabganj,तरबगंज,तराबंगज,तरबगंज
tarash,तराश,ताराश,तराश
tariko,तरीको,तारिको,तरीको
tarkvad,तर्कवाद,तरकवाद,तर्कवाद
tarkwaad,तर्कवाद,तरकवाद,तर्कवाद
tarkon,तर्कों,तरकों,तर्कों
tahakhana,तहखाना,तहखना,तहखाना
tahkhana,तहखाना,तहखना,तहखाना
tirupati,तिरूपति,तिरुपति,तिरूपति
teeron,तीरों,टीरों,तीरों
tuglak,तुगलक,तुगलाक,तुगलक
tejaji,तेजाजी,तेजजी,तेजाजी
tyauharon,त्यौहारों,त्योहारों,त्यौहारों
thki,थकी,थककी,थकी
thiyeters,थियेटर्स,थिएटर्स,थियेटर्स
thailee,थैली,थाइली,थैली
thaili,थैली,थाईली,थैली
thaile,थैले,थाइल,थैले
danga,दंगा,डांगा,दंगा
dangon,दंगों,डांगों,दंगों
dampati,दंपति,दमपती,दंपति
dampatiyon,दंपतियों,दमपत्तियों,दंपतियों
danptiyon,दंपतियों,दंपत्यों,दंपतियों
darjano,दर्जनों,दरजानों,दर्जनों
dastavej,दस्तावेज,दस्तवेवज़,दस्तावेज
daanshil,दानशील,दांशील,दानशील
daabholkar,दाभोलकर,दाबोहकल,दाभोलकर
dabholkar,दाभोलकर,दबोहकल,दाभोलकर
ditaa,दिता,दीता,दिता
dinaank,दिनांक,दीनांक,दिनांक
dinank,दिनांक,दीनांक,दिनांक
diwani,दिवानी,दीवानी,दिवानी
divya,दिव्य,दीव्य,दिव्य
deepan,दीपन,दीपान,दीपन
deepn,दीपन,डीपन,दीपन
dukke,दुक्के,डुक्के,दुक्के
dubhashiyon,दुभाषियों,दुभाष्यों,दुभाषियों
durghtna,दुर्घटना,दूर्घना,दुर्घटना
desai,देसाई,डेसाई,देसाई
dvivedi,द्विवेदी,द्विदेीी,द्विवेदी
dwivedi,द्विवेदी,द्विवेदीी,द्विवेदी
dhandhon,धंधों,धनधों,धंधों
dhandhany,धनधान्य,धनंधनीय,धनधान्य
dhandhanya,धनधान्य,धनधनन्य,धनधान्य
dhamkaataa,धमकाता,धमकता,धमकाता
dharmraj,धर्मराज,धर्माराज,धर्मराज
dhaak,धाक,ढाक,धाक
dhaatuein,धातुएं,धातें,धातुएं
dhuni,धूनी,धुनी,धूनी
dhairyavaan,धैर्यवान,धैर्वानान,धैर्यवान
dhairyawan,धैर्यवान,धैर्वानान,धैर्यवान
dhyeyavaadi,ध्येयवादी,ध्यायवादी,ध्येयवादी
dhrupad,ध्रुपद,धृपद,ध्रुपद
naksalwaad,नक्सलवाद,नकसावाद,नक्सलवाद
naksalwad,नक्सलवाद,नकसलवाद,नक्सलवाद
nagaadaa,नगाड़ा,नगदा,नगाड़ा
najraane,नजराने,नज़राने,नजराने
nazraane,नजराने,नज़राने,नजराने
najariyon,नजरियों,नज़रियों,नजरियों
najriyon,नजरियों,नज़रियों,नजरियों
najron,नजरों,नज्रों,नजरों
naram,नरम,नारम,नरम
nayak,नायक,नयक,नायक
nikalegi,निकलेगी,निकालेगी,निकलेगी
nikhari,निखरी,निखारी,निखरी
nigar,निगर,निगार,निगर
nityaa,नित्या,नित्य,नित्या
nidhan,निधान,निधन,निधान
nishpaap,निष्पाप,निषपाप,निष्पाप
neelagaay,नीलगाय,नीलागा,नीलगाय
neelaabh,नीलाभ,नीलभ,नीलाभ
nauvahan,नौवहन,नौवाहन,नौवहन
panchaang,पंचांग,पंचांगग,पंचांग
pakshpaat,पक्षपात,पक्षपत,पक्षपात
patki,पटकी,पटकीी,पटकी
padegaa,पड़ेगा,पदेगा,पड़ेगा
padhaataa,पढ़ाता,पढ़ता,पढ़ाता
padmavati,पदमावती,पद्मावती,पदमावती
panapnaa,पनपना,पनपाना,पनपना
panpana,पनपना,पानना,पनपना
pammi,पम्मी,पामी,पम्मी
pummy,पम्मी,पूम्य,पम्मी
parikalpit,परिकल्पित,परिकालिप्त,परिकल्पित
parosne,परोसने,परोसनन,परोसने
purple,पर्पल,पुरप्ले,पर्पल
palatne,पलटने,पलतने,पलटने
paltane,पलटने,पालताने,पलटने
pale,पले,पाले,पले
pulmonary,पल्मोनरी,पुल्मोर्ण,पल्मोनरी
paheliyon,पहेलियों,पहलियों,पहेलियों
pide,पाइड,पीड़,पाइड
pied,पाइड,पीड,पाइड
paarampariktaa,पारंपरिकता,पारपरिक्ता,पारंपरिकता
piki,पिकी,पीकी,पिकी
pitaamaha,पितामह,पितामाहा,पितामह
peaking,पीकिंग,पीकिंगग,पीकिंग
putliyan,पुतलियां,पुलतियां,पुतलियां
putaliyon,पुतलियों,पुतालियों,पुतलियों
putliyon,पुतलियों,पुल्लियों,पुतलियों
putin,पुतिन,प्टिन,पुतिन
puraane,पुराने,पूराने,पुराने
purane,पुराने,पूराने,पुराने
puru,पुरू,पुरु,पुरू
purjon,पुर्जों,पूर्जों,पुर्जों
purzon,पुर्जों,पूर्जों,पुर्जों
pulam,पुलम,पुलाम,पुलम
pushpa,पुष्पा,पुष्प,पुष्पा
poojaapaath,पूजापाठ,पूजानाथ,पूजापाठ
